RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
54,15702298,655,Germany,Male,41,8,125562,1,0,0,164041,1
55,15569590,601,Germany,Male,42,1,98496,1,1,0,40015,1
56,15760861,619,France,Male,43,1,125212,1,1,1,113410,0
57,15630053,656,France,Male,45,5,127864,1,1,0,87108,0
58,15647091,725,Germany,Male,19,0,75888,1,0,0,45614,0
59,15623944,511,Spain,Female,66,4,0,1,1,0,1643,1
60,15804771,614,France,Male,51,4,40686,1,1,1,46775,0
61,15651280,742,Germany,Male,35,5,136857,1,0,0,84510,0
62,15773469,687,Germany,Female,27,9,152329,2,0,0,126495,0
63,15702014,555,Spain,Male,33,1,56085,2,0,0,178798,0
64,15751208,684,Spain,Male,56,8,78707,1,1,1,99398,0
65,15592461,603,Germany,Male,26,4,109166,1,1,1,92841,0
66,15789484,751,Germany,Female,36,6,169831,2,1,1,27758,0
67,15696061,581,Germany,Female,34,1,101633,1,1,0,110432,0
68,15641582,735,Germany,Male,43,10,123180,2,1,1,196673,0
69,15638424,661,Germany,Female,35,5,150726,2,0,1,113657,0
70,15755648,675,France,Female,21,8,98373,1,1,0,18203,0
71,15703793,738,Germany,Male,58,2,133745,4,1,0,28374,1
72,15620344,813,France,Male,29,6,0,1,1,0,33954,0
73,15812518,657,Spain,Female,37,0,163607,1,0,1,44204,0
74,15779052,604,Germany,Female,25,5,157781,2,1,1,58427,0
75,15770811,519,France,Male,36,9,0,2,0,1,145562,0
76,15780961,735,France,Female,21,1,178718,2,1,0,22388,0
77,15614049,664,France,Male,55,8,0,2,1,1,139162,0
78,15662085,678,France,Female,32,9,0,1,1,1,148211,0
79,15575185,757,Spain,Male,33,5,77253,1,0,1,194240,0
80,15803136,416,Germany,Female,41,10,122190,2,1,0,98302,0
81,15706021,665,France,Female,34,1,96646,2,0,0,171414,0
82,15663706,777,France,Female,32,2,0,1,1,0,136458,1
83,15641732,543,France,Female,36,3,0,2,0,0,26020,0
84,15701164,506,France,Female,34,4,90308,1,1,1,159235,0
85,15738751,493,France,Female,46,4,0,2,1,0,1908,0
86,15805254,652,Spain,Female,75,10,0,2,1,1,114676,0
87,15762418,750,Spain,Male,22,3,121682,1,1,0,128643,1
88,15625759,729,France,Male,30,9,0,2,1,0,151869,0
89,15622897,646,France,Female,46,4,0,3,1,0,93251,1
90,15767954,635,Germany,Female,28,3,81624,2,1,1,156791,0
91,15757535,647,Spain,Female,44,5,0,3,1,1,174205,1
92,15731511,808,France,Male,45,7,118627,2,1,0,147132,0
93,15809248,524,France,Female,36,10,0,2,1,0,109615,0
94,15640635,769,France,Male,29,8,0,2,1,1,172291,0
95,15676966,730,Spain,Male,42,4,0,2,0,1,85982,0
96,15699461,515,Spain,Male,35,10,176274,1,0,1,121278,0
97,15738721,773,Spain,Male,41,9,102827,1,0,1,64595,0
98,15693683,814,Germany,Male,29,8,97086,2,1,1,197276,0
99,15604348,710,Spain,Male,22,8,0,2,0,0,99645,0
100,15633059,413,France,Male,34,9,0,2,0,0,6534,0
101,15808582,665,France,Female,40,6,0,1,1,1,161848,0
102,15743192,623,France,Female,44,6,0,2,0,0,167162,0
103,15580146,738,France,Male,31,9,82674,1,1,0,41971,0
104,15776605,528,Spain,Male,36,7,0,2,1,0,60537,0
105,15804919,670,Spain,Female,65,1,0,1,1,1,177656,1
106,15613854,622,Spain,Female,46,4,107073,2,1,1,30985,1
107,15599195,582,Germany,Male,32,1,88939,1,1,1,10055,0
108,15812878,785,Germany,Female,36,2,99807,1,0,1,36977,0
109,15602312,605,Spain,Male,33,5,150093,1,0,0,71863,0
110,15744689,479,Germany,Male,35,9,92834,1,1,0,99450,1
111,15803526,685,Germany,Male,30,3,90537,1,0,1,63083,0
112,15665790,538,Germany,Male,39,7,108055,2,1,0,27231,0
113,15715951,562,France,Male,42,2,100238,1,0,0,86797,0
114,15591100,675,Spain,Male,36,9,106191,1,0,1,22994,0
115,15609618,721,Germany,Male,28,9,154476,2,0,1,101301,1
116,15675522,628,Germany,Female,30,9,132351,2,1,1,74169,0
117,15705512,668,Germany,Female,37,6,167864,1,1,0,115638,0
118,15698028,506,France,Female,41,1,0,2,1,0,31766,0
119,15661670,524,Germany,Female,31,8,107819,1,1,0,199725,1
120,15600781,699,Germany,Male,34,4,185174,2,1,0,120834,0
121,15682472,828,France,Male,34,8,129433,2,0,0,38132,0
122,15580203,674,Spain,Male,39,6,120193,1,0,0,100131,0
123,15690673,656,France,Female,39,6,0,2,1,0,141070,0
124,15760085,684,Germany,Female,48,10,126384,1,1,1,198129,0
125,15779659,625,France,Female,28,3,0,1,0,0,183646,0
126,15627360,432,France,Male,42,9,152603,1,1,0,110265,1
127,15671137,549,France,Female,52,1,0,1,0,1,8636,1
128,15782688,625,Germany,Male,56,0,148507,1,1,0,46824,1
129,15575492,828,France,Female,41,7,0,2,1,0,171379,0
130,15591607,770,France,Male,24,9,101827,1,1,0,167256,0
131,15740404,758,France,Female,34,3,0,2,1,1,124226,0
132,15718369,795,Germany,Female,33,9,130862,1,1,1,114935,0
133,15677871,687,France,Male,38,9,122571,1,1,1,35609,0
134,15642004,686,France,Male,25,1,0,2,0,1,16459,0
135,15712543,789,Germany,Male,39,7,124828,2,1,1,124411,0
136,15584518,589,Germany,Female,50,5,144895,2,1,1,34941,0
137,15802381,461,Germany,Female,34,5,63664,1,0,1,167784,0
138,15610156,637,France,Male,40,2,133463,1,0,1,93165,0
139,15594408,584,Spain,Female,48,2,213146,1,1,0,75161,1
140,15640905,579,Spain,Female,35,1,129490,2,0,1,8591,1
141,15698932,756,Germany,Male,44,10,137452,1,1,0,189544,0
142,15724944,663,France,Male,34,7,0,2,1,1,180427,0
143,15628145,682,France,Female,43,5,125852,1,1,1,193318,0
144,15713483,793,Spain,Male,52,2,0,1,1,0,159124,1
145,15612350,691,France,Female,31,5,40916,1,1,0,126214,1
146,15800703,485,Spain,Female,21,5,113157,1,1,1,54142,0
147,15705707,635,Spain,Female,29,8,138297,2,1,0,141076,0
148,15754105,650,France,Male,37,5,106967,1,0,0,24495,0
149,15703264,735,France,Male,44,9,120682,1,1,0,74836,0
150,15794413,416,France,Male,32,0,0,2,0,1,879,0
151,15650237,754,Spain,Female,32,7,0,2,1,0,89521,0
152,15759618,535,France,Female,48,9,0,1,1,0,149893,1
153,15811589,716,Spain,Male,42,8,0,2,1,0,180800,0
154,15689044,539,France,Male,37,2,127610,1,1,0,98646,0
155,15709368,614,France,Female,43,6,0,2,1,1,109042,0
156,15679145,706,Spain,Male,57,7,0,1,1,0,17941,1
157,15655007,758,France,Female,33,7,0,2,0,0,82996,0
158,15623595,586,Spain,Female,28,2,0,2,1,1,92067,0
159,15589975,646,France,Female,73,6,97259,1,0,1,104720,0
160,15804017,631,Germany,Female,33,4,123247,1,0,0,112688,0
161,15692132,717,Spain,Female,22,6,101060,1,0,1,84700,0
162,15641122,684,France,Male,30,2,0,2,1,0,83474,0
163,15630910,800,France,Female,49,7,108007,1,0,0,47125,0
164,15680772,721,Spain,Female,36,2,0,2,1,1,106978,0
165,15658929,683,Spain,Male,29,0,133703,1,1,0,55583,1
166,15585388,660,Germany,Male,31,9,125190,2,1,1,139874,0
167,15724623,704,Germany,Female,24,7,113034,1,1,0,162503,1
168,15588537,615,Spain,Female,41,9,109013,1,1,0,196500,0
169,15574692,667,Spain,Female,39,2,0,2,1,0,40721,1
170,15611325,682,Germany,Male,24,9,57930,2,0,0,53134,0
171,15587562,484,France,Female,29,4,130114,1,1,0,164018,0
172,15613172,628,Germany,Male,27,5,95826,2,1,0,155997,0
173,15651022,480,Germany,Male,44,10,129609,1,1,0,5473,1
174,15586310,578,France,Male,30,4,169462,1,1,0,112187,0
175,15625524,512,France,Male,40,5,0,2,1,1,146458,0
176,15755209,484,Spain,Female,35,7,133868,1,1,1,27286,0
177,15645248,510,France,Female,30,0,0,2,1,1,130553,0
178,15790355,606,Germany,Male,36,5,190479,2,0,0,179352,0
179,15762615,597,Spain,Female,40,8,101993,1,0,1,94774,0
180,15625426,754,Germany,Female,55,3,161609,1,1,0,8081,1
181,15716334,850,Spain,Female,45,2,122311,1,1,1,19483,0
182,15789669,510,France,Male,65,2,0,2,1,1,48072,0
183,15621075,778,Germany,Female,45,1,162150,2,1,0,174531,0
184,15810845,636,France,Male,42,2,0,2,1,1,55471,0
185,15719377,804,France,Female,50,4,0,1,1,1,8547,1
186,15654506,514,France,Male,32,8,0,2,1,0,95857,0
187,15771977,730,France,Female,39,1,99011,1,1,0,194946,0
188,15708710,525,Spain,Female,37,0,0,1,0,1,131522,0
189,15726676,616,Spain,Male,30,5,0,2,0,1,196109,0
190,15587421,687,Germany,Female,34,7,111388,2,1,0,148565,0
191,15726931,715,France,Female,41,8,56215,2,0,0,92983,1
192,15771086,512,France,Female,36,3,84328,2,1,0,17675,0
193,15756850,479,France,Male,40,1,0,2,0,0,114996,0
194,15702741,601,France,Male,32,8,93013,1,1,0,86957,0
195,15679200,580,Spain,Male,29,9,61710,2,1,0,128078,0
196,15594815,807,France,Male,35,3,174790,1,1,1,600,0
197,15635905,616,Spain,Female,32,6,0,2,1,1,43001,0
198,15777892,721,Germany,Male,37,3,107721,1,1,1,158591,0
199,15656176,501,France,Male,57,10,0,2,1,1,47847,0
200,15811127,521,France,Male,35,6,96424,1,1,0,10488,0
201,15604482,850,Spain,Male,30,2,141040,1,1,1,5978,0
202,15622911,759,France,Male,42,4,105420,1,0,1,121409,0
203,15600974,516,Spain,Male,50,5,0,1,0,1,146146,1
204,15727868,711,France,Female,38,2,129022,2,1,1,14375,1
205,15627801,512,Spain,Male,33,3,176667,1,1,0,94671,0
206,15773039,550,France,Male,37,3,0,1,1,1,179670,0
207,15755262,608,Spain,Female,41,3,89764,1,0,0,199305,1
208,15679531,618,France,Male,34,5,134955,1,1,1,151954,0
209,15684181,643,France,Male,45,5,0,1,1,0,142514,1
210,15612087,671,France,Male,45,2,106377,1,0,1,158265,0
211,15752047,689,Germany,Male,33,2,161815,2,1,0,169382,0
212,15624592,603,France,Male,31,8,0,2,1,1,169915,0
213,15573152,620,France,Female,41,9,0,2,0,0,88852,0
214,15594917,676,France,Female,34,1,63095,1,1,1,40646,0
215,15785542,572,Germany,Male,26,4,118287,2,0,0,60427,0
216,15723488,668,Germany,Male,47,7,106854,1,0,1,157959,1
217,15680920,695,France,Male,46,7,49513,1,1,0,133007,0
218,15786308,730,Spain,Female,33,9,0,2,0,0,176577,0
219,15659366,807,France,Male,43,1,105799,2,1,0,34888,1
220,15774854,592,France,Male,54,8,0,1,1,1,28738,1
221,15725311,726,France,Female,31,9,114722,2,1,1,98179,0
222,15787155,514,Spain,Male,30,7,0,1,0,1,125010,0
223,15727829,567,France,Male,42,2,0,2,1,1,167985,0
224,15733247,850,France,Male,33,10,0,1,1,0,4862,1
225,15568748,671,Germany,Male,45,6,99564,1,1,1,108872,1
226,15699029,670,France,Male,37,4,170558,2,1,0,198253,0
227,15774393,694,France,Female,30,9,0,2,1,1,26960,0
228,15676895,547,Germany,Female,39,6,74596,3,1,1,85747,1
229,15637753,751,Germany,Male,50,2,96888,1,1,0,77206,1
230,15605461,594,Germany,Female,29,3,130830,1,1,0,61049,0
231,15808473,673,France,Male,72,1,0,2,0,1,111981,0
232,15627000,610,France,Male,40,0,0,2,1,0,62233,0
233,15787174,512,France,Female,37,1,0,2,0,1,156105,0
234,15723886,767,Germany,Male,20,3,119714,2,0,1,150135,0
235,15704769,585,France,Female,67,5,113979,2,0,1,93146,0
236,15772896,763,Germany,Male,42,6,100161,1,1,0,33463,1
237,15711540,712,France,Female,29,2,0,1,1,1,144375,0
238,15764866,539,Germany,Female,43,3,116221,3,1,0,55804,1
239,15794056,668,France,Female,46,2,0,3,1,0,89048,1
240,15795149,703,France,Male,28,2,81174,2,0,1,162812,0
241,15812009,662,Spain,Male,38,4,0,2,1,0,136260,0
242,15651001,725,Germany,Female,39,5,116804,1,1,0,124053,0
243,15813844,703,France,Male,37,8,105962,2,0,1,74159,0
244,15596175,659,Germany,Male,67,6,117412,1,1,1,45071,1
245,15576269,523,Spain,Male,34,7,0,2,1,0,62030,0
246,15797219,635,France,Female,40,10,123498,1,1,0,131953,1
247,15685500,772,Germany,Male,26,7,152401,2,1,0,79414,0
248,15599792,545,France,Female,26,1,0,2,1,1,199639,0
249,15657566,634,Germany,Male,24,8,103098,1,1,1,157577,0
250,15772423,739,Germany,Male,54,8,126418,1,1,0,134421,1
251,15628112,771,Germany,Female,36,5,77847,1,0,0,99806,0
252,15753754,587,Spain,Female,34,1,0,2,1,1,97933,0
253,15793726,681,France,Female,79,0,0,2,0,1,170969,0
254,15694717,544,Germany,Male,37,2,79732,1,1,1,57559,0
255,15665834,696,Spain,Male,28,8,0,1,0,0,176713,0
256,15765297,766,Spain,Male,41,0,0,2,0,1,34283,0
257,15636684,727,France,Male,34,10,0,2,1,1,198637,0
258,15592979,671,Germany,Female,34,6,37267,2,0,0,156917,0
259,15750803,693,France,Female,30,6,127992,1,1,1,50457,0
260,15607178,850,Germany,Male,38,3,54901,1,1,1,140076,0
261,15713853,732,Germany,Male,42,9,108748,2,1,1,65323,0
262,15673481,726,Spain,Female,48,6,99906,1,1,0,64323,0
263,15686776,557,France,Female,32,6,184686,2,1,0,14956,0
264,15673693,682,France,Female,26,0,110654,1,0,1,111879,0
265,15700696,738,Spain,Male,31,9,79020,1,1,1,18606,0
266,15813163,531,Spain,Female,36,9,99241,1,1,0,123137,0
267,15653857,498,France,Male,34,2,0,2,1,1,148528,0
268,15777076,651,France,Male,36,7,0,2,1,0,13898,0
269,15717398,549,Spain,Female,39,7,0,1,0,0,81259,1
270,15799217,791,Germany,Female,35,7,52436,1,1,0,161052,0
271,15787071,650,Spain,Male,41,9,0,2,0,1,191600,0
272,15619955,733,Germany,Male,34,3,100338,3,1,0,48559,1
273,15796505,811,Germany,Female,34,1,149297,2,1,1,186340,0
274,15725166,707,France,Male,30,8,0,2,1,0,33159,0
275,15800116,712,Germany,Male,28,4,145605,1,0,1,93884,0
276,15758685,706,Spain,Female,37,7,0,2,1,1,110899,0
277,15694456,756,France,Male,62,3,0,1,1,1,11199,1
278,15767339,777,France,Female,53,10,0,2,1,0,189993,0
279,15683562,646,France,Male,35,6,84027,1,0,1,164256,0
280,15782210,714,France,Male,46,1,0,1,1,0,152168,1
281,15668893,782,France,Male,39,8,0,2,1,1,33950,0
282,15669169,775,Spain,Male,29,10,0,2,1,1,68144,0
283,15643024,479,Germany,Male,35,4,138719,1,1,1,47252,1
284,15699389,807,France,Male,42,7,118275,1,1,1,25886,0
285,15708608,799,France,Female,22,8,174186,2,0,1,192634,0
286,15626144,675,France,Male,40,7,113209,2,1,0,34577,0
287,15573112,602,Spain,Male,29,5,103907,1,1,0,161230,0
288,15790678,475,France,Female,32,8,119023,1,1,0,100816,0
289,15727556,744,Spain,Female,26,5,166298,1,1,1,181694,0
290,15697307,588,Spain,Male,34,10,0,2,1,0,79079,0
291,15652266,703,Germany,Male,42,9,63227,1,0,1,137316,0
292,15607098,747,Spain,Female,41,5,94521,2,1,0,194927,0
293,15655774,583,France,Male,27,7,0,2,1,0,51285,0
294,15590241,750,Spain,Female,34,9,112822,1,0,0,150402,1
295,15785819,681,France,Male,38,3,0,2,1,1,112492,0
296,15723654,773,France,Male,25,2,135903,1,1,0,73656,0
297,15774510,714,France,Female,31,4,125169,1,1,1,106637,0
298,15684173,687,Spain,Female,44,7,0,3,1,0,155854,1
299,15650068,511,France,Male,58,0,149117,1,1,1,162600,0
300,15811490,627,France,Male,33,5,0,2,1,1,103738,0
301,15803976,694,France,Female,31,10,0,2,1,0,160990,0
302,15682541,616,Spain,Female,36,6,132312,1,0,0,15463,0
303,15695699,687,France,Male,35,8,0,2,1,0,10334,0
304,15624188,712,France,Female,33,6,0,2,1,1,190686,0
305,15812191,553,France,Male,33,4,118083,1,0,0,94440,0
306,15636673,667,France,Male,31,1,119267,1,1,1,28258,0
307,15594898,731,France,Male,43,2,0,1,1,1,170035,1
308,15660211,629,Germany,Male,35,7,156847,2,1,0,31824,0
309,15773972,614,France,Male,50,4,137104,1,1,0,127166,1
310,15746726,438,Germany,Male,31,8,78399,1,1,0,44937,0
311,15712287,652,France,Female,80,4,0,2,1,1,188603,0
312,15702919,729,Germany,Male,30,6,63669,1,1,0,145111,0
313,15674398,642,France,Male,38,3,0,2,0,0,171464,0
314,15797960,806,Germany,Female,59,0,135296,1,1,0,182823,0
315,15631868,744,Spain,Male,36,2,153804,1,1,1,87213,0
316,15581539,474,Spain,Male,37,3,0,2,0,0,57175,0
317,15662736,559,France,Male,49,2,147070,1,1,0,120541,1
318,15666252,706,Spain,Male,42,9,0,2,1,1,28714,0
319,15677512,628,Spain,Female,22,3,0,1,1,0,85426,0
320,15626114,429,France,Male,24,4,95742,1,1,0,46171,0
321,15810834,525,Spain,Female,57,2,145965,1,1,1,64448,0
322,15678910,680,France,Female,30,8,141442,1,1,1,16279,0
323,15694408,749,France,Male,40,1,139290,1,1,0,182855,1
324,15585215,763,France,Female,31,4,0,2,0,0,50405,0
325,15682757,734,France,Male,30,3,0,2,1,0,107640,0
326,15736601,716,France,Male,35,4,144429,1,1,0,134133,0
327,15601848,594,France,Male,35,2,0,2,1,0,103481,0
328,15736008,644,France,Female,46,9,95441,1,1,0,108761,1
329,15669064,671,Germany,Male,35,1,144849,1,1,1,179012,0
330,15624528,664,Germany,Male,26,7,116244,2,1,1,95145,0
331,15598493,656,France,Male,50,7,0,2,0,1,72143,0
332,15601274,667,Spain,Female,40,1,146502,1,1,0,19163,0
333,15702669,663,Germany,Male,44,2,117029,2,0,1,144680,0
334,15728669,584,Germany,Female,30,8,112014,1,1,0,177772,1
335,15742668,626,Spain,Female,37,6,108269,1,1,0,5598,0
336,15697441,485,France,Male,29,7,182124,1,1,0,116829,1
337,15740476,659,Germany,Female,32,3,150924,2,0,1,174653,0
338,15648064,649,France,Male,33,2,0,2,1,0,2011,0
339,15636624,805,Spain,Female,39,5,165272,1,1,0,14110,1
340,15807923,716,Germany,Female,39,10,115301,1,1,0,43527,1
341,15745844,642,Germany,Female,40,6,129502,2,0,1,86099,1
342,15786170,659,France,Male,31,4,118342,1,0,0,161574,0
343,15681081,545,Spain,Female,47,5,0,2,1,1,38970,0
344,15684484,543,France,Male,22,8,0,2,0,0,127587,0
345,15785869,718,France,Female,25,7,0,2,1,0,30380,0
346,15763859,840,France,Female,43,7,0,2,1,0,90909,0
347,15658935,630,Germany,Female,34,9,106937,2,1,0,138275,0
348,15747358,643,Germany,Male,59,3,170331,1,1,1,32172,0
349,15735203,654,Germany,Female,32,1,114511,1,1,1,126143,0
350,15576256,582,France,Male,39,5,0,2,1,1,129893,0
351,15659420,659,Spain,Male,32,3,107594,2,1,1,102417,0
352,15593365,762,Spain,Male,39,2,81273,1,1,1,18720,0
353,15777352,568,Spain,Female,32,7,169400,1,1,0,61936,0
354,15812007,670,Spain,Male,25,6,0,2,1,1,78359,0
355,15625461,613,France,Female,45,1,187842,2,1,1,147224,0
356,15739438,539,France,Male,30,0,0,2,1,0,160980,0
357,15611759,850,Spain,Female,57,8,126776,2,1,1,132298,0
358,15661629,522,Spain,Male,34,9,126436,1,1,0,174249,1
359,15633950,737,France,Male,41,1,101961,1,1,1,123547,0
360,15592386,520,France,Male,58,3,0,2,0,1,32790,0
361,15803716,706,Spain,Male,28,3,0,2,0,1,181544,0
362,15696674,643,Germany,Female,45,2,150843,1,0,1,2320,1
363,15706365,648,France,Female,50,9,102536,1,1,1,189543,0
364,15745088,443,Germany,Female,29,9,99028,2,1,0,10940,0
365,15676715,640,France,Male,68,9,0,2,1,1,199493,0
366,15613085,628,Spain,Female,33,3,0,1,1,1,188193,0
367,15633537,540,Germany,Female,42,9,87271,2,1,0,172573,0
368,15594720,460,Germany,Female,35,8,102743,2,1,1,189340,0
369,15684042,636,Germany,Male,34,2,40106,2,0,1,53512,0
370,15583303,593,France,Female,29,2,152265,1,1,0,34004,0
371,15611579,801,Spain,Male,42,4,141948,1,1,1,10598,0
372,15774696,640,Germany,Female,75,1,106308,2,0,1,113429,0
373,15694506,611,Germany,Male,31,0,107885,2,1,1,183488,0
374,15688074,802,Germany,Male,31,1,125014,1,1,1,187658,0
375,15759537,717,Germany,Male,35,7,58469,2,1,1,172459,0
376,15758449,769,France,Female,39,8,0,1,0,1,21016,0
377,15583456,745,Germany,Male,45,10,117232,3,1,1,122381,1
378,15667871,572,Spain,Male,35,4,152390,1,1,0,128124,0
379,15677371,629,Spain,Female,30,2,34014,1,1,0,19571,0
380,15629677,687,Spain,Female,39,2,0,3,0,0,188151,1
381,15713578,483,France,Female,50,9,0,2,1,1,111020,0
382,15591509,690,France,Male,36,7,101583,2,1,0,123775,0
383,15568240,492,Germany,Female,30,10,77169,2,0,1,146700,0
384,15622993,709,Germany,Male,28,8,124696,2,1,0,145251,0
385,15689294,705,Germany,Male,44,3,105935,1,1,0,82464,0
386,15720910,560,France,Female,66,9,0,1,1,1,15928,0
387,15721181,611,Spain,Male,46,6,0,2,1,0,45886,0
388,15776433,730,Spain,Male,62,2,0,2,1,1,186490,0
389,15748936,709,Spain,Female,45,2,0,2,0,1,162923,0
390,15717225,544,France,Female,21,10,161526,2,1,0,9263,0
391,15685226,712,Germany,Female,29,7,147199,1,1,1,84932,0
392,15785611,752,Germany,Male,38,3,183102,1,1,1,71557,0
393,15573456,648,Spain,Male,46,9,127209,2,1,0,77406,1
394,15684548,556,Spain,Male,38,8,0,2,0,0,417,1
395,15620505,594,Spain,Female,24,0,97379,1,1,1,71405,0
396,15807432,645,Germany,Female,37,2,136925,2,0,1,153400,0
397,15584766,557,France,Male,33,3,54504,1,1,1,371,0
398,15612187,547,Germany,Male,32,8,155727,1,1,0,67790,0
399,15762218,701,France,Female,39,9,0,2,0,1,145895,0
400,15646372,616,France,Female,66,1,135842,1,1,0,183841,1
401,15690452,605,France,Male,52,1,63350,1,1,0,108887,0
402,15747795,593,Germany,Female,38,4,129499,1,1,1,154071,0
403,15781589,751,Spain,Male,52,8,0,2,0,1,179292,0
404,15732674,443,Spain,Male,36,6,70438,2,0,1,56937,0
405,15642291,685,France,Male,23,8,0,2,1,1,112239,0
406,15692761,718,France,Male,36,9,0,1,1,0,45910,0
407,15578045,538,Spain,Female,49,9,141434,1,0,0,173779,1
408,15745354,611,Spain,Female,37,4,0,2,1,0,125696,0
409,15701376,668,Germany,Male,37,10,152958,2,1,1,159586,0
410,15691625,537,Germany,Female,41,3,138306,1,1,0,106761,0
411,15566594,709,Spain,Male,23,10,0,2,0,0,129590,0
412,15760431,850,France,Male,38,1,0,2,1,1,80007,0
413,15686302,745,Spain,Female,31,3,124329,1,1,1,140452,0
414,15801559,693,Germany,Female,41,9,181461,3,1,1,187929,1
415,15810432,795,Spain,Male,35,8,0,2,1,0,167155,0
416,15809616,626,Spain,Male,26,8,0,2,0,0,191421,0
417,15720559,487,Germany,Female,61,5,110368,1,0,0,11384,1
418,15695632,556,France,Female,39,9,89588,1,1,1,94898,0
419,15659843,643,France,Female,46,6,0,2,0,0,106782,0
420,15615624,605,France,Female,28,6,0,2,0,0,159509,0
421,15810418,756,Germany,Female,60,3,115925,1,1,0,93524,1
422,15716186,586,France,Female,38,2,0,2,1,0,87168,0
423,15674551,535,Germany,Male,40,7,111757,1,1,0,8128,1
424,15622834,678,France,Female,35,4,0,1,1,0,125518,0
425,15566111,596,France,Male,39,9,0,1,1,0,48964,0
426,15784597,648,France,Male,26,9,162924,1,1,0,98368,0
427,15652883,492,Germany,Male,39,10,124577,2,1,0,148585,0
428,15806964,702,France,Male,45,0,80794,1,1,1,27475,0
429,15576313,486,Germany,Female,40,9,71340,1,1,0,76192,0
430,15806467,568,Germany,Male,40,1,99283,1,0,0,134601,1
431,15597602,619,Germany,Male,57,3,137946,1,1,1,72468,1
432,15743040,724,Germany,Male,41,2,127893,2,0,1,199645,0
433,15705521,548,Germany,Female,33,0,101084,1,1,0,42750,0
434,15595039,545,Germany,Female,37,8,114754,1,1,0,136050,1
435,15799384,683,France,Male,33,8,0,1,0,0,73564,0
436,15581197,762,France,Female,51,3,99287,1,0,1,85579,0
